Protein names,Gene names,Majority protein IDs,Entry name,C: Gene ontology (biological process),C: Gene ontology (cellular component),C: Gene ontology (molecular function),C: Gene ontology (GO),Length,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Mol. weight [kDa],Q-value,Score,Intensity,MS/MS count,27.5,55,110,220,440,1100
NAD(P)H-quinone oxidoreductase subunit H (EC 1.6.5.-) (NAD(P)H dehydrogenase subunit H) (NADH-plastoquinone oxidoreductase subunit H) (NDH-1 subunit H) (NDH-H),ndhH slr0261,P27724,NDHH_SYNY3,,thylakoid membrane [GO:0042651],"NAD binding [GO:0051287];oxidoreductase activity, acting on NAD(P)H [GO:0016651];quinone binding [GO:0048038]","NAD binding [GO:0051287];oxidoreductase activity, acting on NAD(P)H [GO:0016651];quinone binding [GO:0048038];thylakoid membrane [GO:0042651]",394,18,18,18,51,45.534,0,323.31,11026000000,340,3.70626,3.79599,3.561884,3.879988,3.791006,3.847904
Elongation factor G 1 (EF-G 1),fusA fus slr1463,P28371,EFG1_SYNY3,,cytoplasm [GO:0005737],GTP binding [GO:0005525];GTPase activity [GO:0003924];translation elongation factor activity [GO:0003746],cytoplasm [GO:0005737];GTP binding [GO:0005525];GTPase activity [GO:0003924];translation elongation factor activity [GO:0003746],695,54,54,54,82.6,76.749,0,323.31,1.04E+11,1443,15.07978,16.6709,19.3444,19.28082,20.54726,23.08656
Light-independent protochlorophyllide reductase subunit N (DPOR subunit N) (LI-POR subunit N) (EC 1.3.7.7),chlN slr0750,P28372,CHLN_SYNY3,"light-independent chlorophyll biosynthetic process [GO:0036068];photosynthesis, dark reaction [GO:0019685]",,"4 iron, 4 sulfur cluster binding [GO:0051539];ATP binding [GO:0005524];metal ion binding [GO:0046872];oxidoreductase activity, acting on iron-sulfur proteins as donors [GO:0016730]","4 iron, 4 sulfur cluster binding [GO:0051539];ATP binding [GO:0005524];light-independent chlorophyll biosynthetic process [GO:0036068];metal ion binding [GO:0046872];oxidoreductase activity, acting on iron-sulfur proteins as donors [GO:0016730];photosynthesis, dark reaction [GO:0019685]",469,8,8,8,24.5,52.474,0,53.234,528160000,83,0.08224502,0.11110944,0.2135168,0.15244402,0.1786368,0.1755536
Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7),chlL frxC slr0749,P28373,CHLL_SYNY3,"light-independent chlorophyll biosynthetic process [GO:0036068];photosynthesis, dark reaction [GO:0019685]",,"4 iron, 4 sulfur cluster binding [GO:0051539];ATP binding [GO:0005524];metal ion binding [GO:0046872];oxidoreductase activity, acting on iron-sulfur proteins as donors [GO:0016730]","4 iron, 4 sulfur cluster binding [GO:0051539];ATP binding [GO:0005524];light-independent chlorophyll biosynthetic process [GO:0036068];metal ion binding [GO:0046872];oxidoreductase activity, acting on iron-sulfur proteins as donors [GO:0016730];photosynthesis, dark reaction [GO:0019685]",288,6,6,6,37.5,31.48,0,99.852,825410000,93,0.22845045,0.3286252,0.6966458,0.5262262,0.7126762,0.773587
Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70),hemA slr1808,P28463,HEM1_SYNY3,chlorophyll biosynthetic process [GO:0015995];protoporphyrinogen IX biosynthetic process [GO:0006782],,glutamyl-tRNA reductase activity [GO:0008883];NADP binding [GO:0050661],chlorophyll biosynthetic process [GO:0015995];glutamyl-tRNA reductase activity [GO:0008883];NADP binding [GO:0050661];protoporphyrinogen IX biosynthetic process [GO:0006782],427,15,15,15,37.7,47.525,0,253.2,2923200000,219,0.6797306,0.7748548,0.8223404,0.8531742,0.8195682,0.8091448
Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 1) (Ketol-acid reductoisomerase type I),ilvC sll1363,P29107,ILVC_SYNY3,isoleucine biosynthetic process [GO:0009097];valine biosynthetic process [GO:0009099],,ketol-acid reductoisomerase activity [GO:0004455];metal ion binding [GO:0046872];NADP binding [GO:0050661],isoleucine biosynthetic process [GO:0009097];ketol-acid reductoisomerase activity [GO:0004455];metal ion binding [GO:0046872];NADP binding [GO:0050661];valine biosynthetic process [GO:0009099],331,31,31,31,77.6,35.821,0,323.31,1.19E+11,1052,38.68702,42.01246,45.12176,41.67172,46.12612,42.97334
Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PsaA),psaA slr1834,P29254,PSAA_SYNY3,photosynthesis [GO:0015979];protein-chromophore linkage [GO:0018298],integral component of membrane [GO:0016021];plasma membrane-derived photosystem I [GO:0030094];thylakoid membrane [GO:0042651],"4 iron, 4 sulfur cluster binding [GO:0051539];chlorophyll binding [GO:0016168];metal ion binding [GO:0046872];oxidoreductase activity [GO:0016491]","4 iron, 4 sulfur cluster binding [GO:0051539];chlorophyll binding [GO:0016168];integral component of membrane [GO:0016021];metal ion binding [GO:0046872];oxidoreductase activity [GO:0016491];photosynthesis [GO:0015979];plasma membrane-derived photosystem I [GO:0030094];protein-chromophore linkage [GO:0018298];thylakoid membrane [GO:0042651]",751,24,24,24,23.8,82.949,0,323.31,3.22E+11,864,178.24,159.59044,128.50928,145.173,139.46298,94.32972
Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PsaB),psaB slr1835,P29255,PSAB_SYNY3,photosynthesis [GO:0015979];protein-chromophore linkage [GO:0018298],integral component of membrane [GO:0016021];plasma membrane-derived photosystem I [GO:0030094];thylakoid membrane [GO:0042651],"4 iron, 4 sulfur cluster binding [GO:0051539];chlorophyll binding [GO:0016168];metal ion binding [GO:0046872];oxidoreductase activity [GO:0016491]","4 iron, 4 sulfur cluster binding [GO:0051539];chlorophyll binding [GO:0016168];integral component of membrane [GO:0016021];metal ion binding [GO:0046872];oxidoreductase activity [GO:0016491];photosynthesis [GO:0015979];plasma membrane-derived photosystem I [GO:0030094];protein-chromophore linkage [GO:0018298];thylakoid membrane [GO:0042651]",731,18,18,18,20.8,81.291,0,323.31,1.89E+11,820,121.4822,120.36562,101.70806,115.07392,103.92136,64.21024
Photosystem I reaction center subunit III (PSI-F),psaF sll0819,P29256,PSAF_SYNY3,photosynthesis [GO:0015979],photosystem I reaction center [GO:0009538];plasma membrane-derived photosystem I [GO:0030094],,photosynthesis [GO:0015979];photosystem I reaction center [GO:0009538];plasma membrane-derived photosystem I [GO:0030094],165,14,14,14,57.6,18.249,0,323.31,1.50E+11,534,225.5696,190.7602,154.93978,174.9288,157.0184,105.1087
Phytoene dehydrogenase (EC 1.3.99.-) (Phytoene desaturase),pds crtD slr1254,P29273,CRTI_SYNY3,carotenoid biosynthetic process [GO:0016117];response to herbicide [GO:0009635],plasma membrane [GO:0005886],"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]","carotenoid biosynthetic process [GO:0016117];oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705];plasma membrane [GO:0005886];response to herbicide [GO:0009635]",472,16,16,16,37.9,52.92,0,258,3137400000,265,0.5646288,0.5375224,0.7660252,0.7473484,0.8476344,1.1747526
"NAD(P)H-quinone oxidoreductase chain 4-1 (EC 1.6.5.-) (NAD(P)H dehydrogenase I, subunit D-1) (NDH-1, chain 4-1)",ndhD1 ndhD slr0331,P32421,NU4C1_SYNY3,ATP synthesis coupled electron transport [GO:0042773],integral component of membrane [GO:0016021];thylakoid membrane [GO:0042651],NADH dehydrogenase (ubiquinone) activity [GO:0008137];quinone binding [GO:0048038],ATP synthesis coupled electron transport [GO:0042773];integral component of membrane [GO:0016021];NADH dehydrogenase (ubiquinone) activity [GO:0008137];quinone binding [GO:0048038];thylakoid membrane [GO:0042651],525,3,3,3,12.8,57.51,0,111.1,659900000,83,0.490551,0.545484,0.5308016,0.6551124,0.53966,0.4003102
Photosystem I iron-sulfur center (EC 1.97.1.12) (9 kDa polypeptide) (PSI-C) (Photosystem I subunit VII) (PsaC),psaC ssl0563,P32422,PSAC_SYNY3,photosynthetic electron transport in photosystem I [GO:0009773],photosystem I [GO:0009522];thylakoid membrane [GO:0042651],"4 iron, 4 sulfur cluster binding [GO:0051539];electron transfer activity [GO:0009055];metal ion binding [GO:0046872]","4 iron, 4 sulfur cluster binding [GO:0051539];electron transfer activity [GO:0009055];metal ion binding [GO:0046872];photosynthetic electron transport in photosystem I [GO:0009773];photosystem I [GO:0009522];thylakoid membrane [GO:0042651]",81,10,10,10,85.2,8.8282,0,323.31,77939000000,297,147.65,121.44054,92.69296,99.12288,95.34494,67.74874
Global nitrogen regulator,ntcA sll1423,P33779,NTCA_SYNY3,"transcription, DNA-templated [GO:0006351]",intracellular [GO:0005622],DNA binding [GO:0003677];DNA binding transcription factor activity [GO:0003700],"DNA binding [GO:0003677];DNA binding transcription factor activity [GO:0003700];intracellular [GO:0005622];transcription, DNA-templated [GO:0006351]",225,11,11,11,46.7,25.046,0,139.92,1351800000,116,0.6931894,0.6584084,0.7891398,0.8557304,0.667455,0.5863956
50S ribosomal protein L1,rplA rpl1 sll1744,P36236,RL1_SYNY3,maturation of LSU-rRNA [GO:0000470];regulation of translation [GO:0006417];translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],RNA binding [GO:0003723];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735];tRNA binding [GO:0000049],cytosolic large ribosomal subunit [GO:0022625];maturation of LSU-rRNA [GO:0000470];regulation of translation [GO:0006417];RNA binding [GO:0003723];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735];translation [GO:0006412];tRNA binding [GO:0000049],238,23,23,23,81.5,25.852,0,323.31,60705000000,503,25.6913,28.70998,32.18672,30.5379,33.17978,34.50776
50S ribosomal protein L11,rplK rpl11 sll1743,P36237,RL11_SYNY3,ribosomal large subunit assembly [GO:0000027];translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735],cytosolic large ribosomal subunit [GO:0022625];ribosomal large subunit assembly [GO:0000027];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735];translation [GO:0006412],141,10,10,10,68.8,14.977,0,323.31,38260000000,251,26.3191,30.8725,34.03994,36.28708,38.332,36.61464
50S ribosomal protein L19,rplS rpl19 sll1740,P36239,RL19_SYNY3,translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],structural constituent of ribosome [GO:0003735],cytosolic large ribosomal subunit [GO:0022625];structural constituent of ribosome [GO:0003735];translation [GO:0006412],122,9,9,9,50,13.786,0,118.4,23230000000,154,24.03014,24.65246,26.77948,27.66956,29.0737,32.73184
Transcription termination/antitermination protein NusG,nusG sll1742,P36265,NUSG_SYNY3,"DNA-templated transcription, termination [GO:0006353];regulation of DNA-templated transcription, elongation [GO:0032784];regulation of transcription, DNA-templated [GO:0006355];transcription antitermination [GO:0031564]",cytosol [GO:0005829],,"cytosol [GO:0005829];DNA-templated transcription, termination [GO:0006353];regulation of DNA-templated transcription, elongation [GO:0032784];regulation of transcription, DNA-templated [GO:0006355];transcription antitermination [GO:0031564]",205,15,15,15,62,23.416,0,323.31,6872100000,243,2.965534,3.37286,3.694416,3.542566,4.199068,4.379548
Phosphoribulokinase (PRK) (PRKase) (EC 2.7.1.19) (Phosphopentokinase),prk ptk sll1525,P37101,KPPR_SYNY3,pyrimidine nucleobase metabolic process [GO:0006206];pyrimidine nucleoside salvage [GO:0043097];reductive pentose-phosphate cycle [GO:0019253],cytosol [GO:0005829],ATP binding [GO:0005524];phosphoribulokinase activity [GO:0008974];uridine kinase activity [GO:0004849],ATP binding [GO:0005524];cytosol [GO:0005829];phosphoribulokinase activity [GO:0008974];pyrimidine nucleobase metabolic process [GO:0006206];pyrimidine nucleoside salvage [GO:0043097];reductive pentose-phosphate cycle [GO:0019253];uridine kinase activity [GO:0004849],332,28,28,28,81.6,37.913,0,323.31,56424000000,714,21.05354,21.45452,20.53768,21.92162,22.7426,21.1654
Photosystem I reaction center subunit XI (PSI subunit V) (PSI-L),psaL slr1655,P37277,PSAL_SYNY3,photosynthesis [GO:0015979],integral component of membrane [GO:0016021];photosystem I reaction center [GO:0009538];plasma membrane-derived photosystem I [GO:0030094];thylakoid membrane [GO:0042651],,integral component of membrane [GO:0016021];photosynthesis [GO:0015979];photosystem I reaction center [GO:0009538];plasma membrane-derived photosystem I [GO:0030094];thylakoid membrane [GO:0042651],157,6,6,6,45.2,16.624,0,252.83,1.16E+11,345,416.1926,349.361,279.2212,318.1716,283.7888,190.7816
All-trans-phytoene synthase (PSase) (EC 2.5.1.99),crtB pys slr1255,P37294,CRTB_SYNY3,carotenoid biosynthetic process [GO:0016117];ergosterol biosynthetic process [GO:0006696],,farnesyl-diphosphate farnesyltransferase activity [GO:0004310];geranylgeranyl-diphosphate geranylgeranyltransferase activity [GO:0016767];metal ion binding [GO:0046872];squalene synthase activity [GO:0051996],carotenoid biosynthetic process [GO:0016117];ergosterol biosynthetic process [GO:0006696];farnesyl-diphosphate farnesyltransferase activity [GO:0004310];geranylgeranyl-diphosphate geranylgeranyltransferase activity [GO:0016767];metal ion binding [GO:0046872];squalene synthase activity [GO:0051996],337,8,8,8,18.1,38.707,0,119.33,517510000,119,0.13260532,0.16350932,0.226091,0.2166082,0.2149624,0.2151802
Protein IcfG,icfG slr1860,P37979,ICFG_SYNY3,,integral component of membrane [GO:0016021],hydrolase activity [GO:0016787];signal transducer activity [GO:0004871],hydrolase activity [GO:0016787];integral component of membrane [GO:0016021];signal transducer activity [GO:0004871],634,2,2,2,3.8,70.961,0,3.8324,67423000,22,0.02235782,0.02734074,0.024733375,0.019281725,0.020734433,0.016637833
Protein translocase subunit SecE,secE ssl3335,P38382,SECE_SYNY3,protein secretion [GO:0009306];protein targeting [GO:0006605],integral component of membrane [GO:0016021];plasma membrane [GO:0005886];thylakoid membrane [GO:0042651],P-P-bond-hydrolysis-driven protein transmembrane transporter activity [GO:0015450],integral component of membrane [GO:0016021];plasma membrane [GO:0005886];P-P-bond-hydrolysis-driven protein transmembrane transporter activity [GO:0015450];protein secretion [GO:0009306];protein targeting [GO:0006605];thylakoid membrane [GO:0042651],81,3,3,3,39.5,9.1335,0,323.31,1785700000,69,3.80129,6.8038,6.219668,7.89007,6.110516,5.523958
Uncharacterized methyltransferase sll1242 (EC 2.1.1.-) (ORF N),sll1242,P42349,Y1242_SYNY3,,,"4 iron, 4 sulfur cluster binding [GO:0051539];cobalamin binding [GO:0031419];metal ion binding [GO:0046872];methyltransferase activity [GO:0008168]","4 iron, 4 sulfur cluster binding [GO:0051539];cobalamin binding [GO:0031419];metal ion binding [GO:0046872];methyltransferase activity [GO:0008168]",536,19,19,19,44.4,61.755,0,90.816,2041200000,176,0.3421456,0.391283,0.55351,0.494922,0.7445896,0.8165582
Uncharacterized protein slr1353,slr1353,P42350,Y1353_SYNY3,,,,,291,2,2,2,5.5,31.283,0.0010764,2.4567,367140000,8,0.2730824,0.3044802,0.3022386,0.26021908,0.2969568,0.367126
50S ribosomal protein L9,rplI rpl9 sll1244,P42352,RL9_SYNY3,translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],RNA binding [GO:0003723];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735],cytosolic large ribosomal subunit [GO:0022625];RNA binding [GO:0003723];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735];translation [GO:0006412],152,17,17,17,91.4,16.641,0,323.31,36420000000,442,30.73422,34.27458,36.37712,37.75274,40.3834,41.23284
UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme) (UDP-MurNAc-pentapeptide synthetase),murF slr1351,P45450,MURF_SYNY3,cell cycle [GO:0007049];cell division [GO:0051301];cell wall organization [GO:0071555];peptidoglycan biosynthetic process [GO:0009252];regulation of cell shape [GO:0008360],cytoplasm [GO:0005737],ATP binding [GO:0005524];UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity [GO:0047480],ATP binding [GO:0005524];cell cycle [GO:0007049];cell division [GO:0051301];cell wall organization [GO:0071555];cytoplasm [GO:0005737];peptidoglycan biosynthetic process [GO:0009252];regulation of cell shape [GO:0008360];UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity [GO:0047480],454,12,12,12,32.2,48.297,0,168.76,2836400000,195,0.8742398,0.8503852,1.0900978,1.1263562,1.265155,1.3058338
